Pathway_ID,Count,Pathway_Name
R-HSA-6798695,66,Neutrophil degranulation
R-HSA-9013149,31,RAC1 GTPase cycle
R-HSA-5419276,30,Mitochondrial translation termination
R-HSA-5389840,28,Mitochondrial translation elongation
R-HSA-5368286,27,Mitochondrial translation initiation
R-HSA-9937383,27,Mitochondrial ribosome-associated quality control
R-HSA-114608,26,Platelet degranulation
R-HSA-8856828,23,Clathrin-mediated endocytosis
R-HSA-9837999,23,Mitochondrial protein degradation
R-HSA-611105,22,Respiratory electron transport
R-HSA-2132295,21,MHC class II antigen presentation
R-HSA-6785807,21,Interleukin-4 and Interleukin-13 signaling
R-HSA-8862803,21,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
R-HSA-5673001,21,RAF/MAP kinase cascade
R-HSA-198933,20,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
R-HSA-418594,19,G alpha (i) signalling events
R-HSA-381426,19,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
R-HSA-9725370,19,Signaling by ALK fusions and activated point mutants
R-HSA-9679191,19,Potential therapeutics for SARS
R-HSA-9013404,19,RAC2 GTPase cycle
R-HSA-9013148,18,CDC42 GTPase cycle
R-HSA-6794361,18,Neurexins and neuroligins
R-HSA-8980692,17,RHOA GTPase cycle
R-HSA-8957275,17,Post-translational protein phosphorylation
R-HSA-8856825,17,Cargo recognition for clathrin-mediated endocytosis
R-HSA-983168,17,Antigen processing: Ubiquitination & Proteasome degradation
R-HSA-6811558,17,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
R-HSA-1989781,16,PPARA activates gene expression
R-HSA-2029482,16,Regulation of actin dynamics for phagocytic cup formation
R-HSA-1257604,16,PIP3 activates AKT signaling
R-HSA-9705671,15,SARS-CoV-2 activates/modulates innate and adaptive immune responses
R-HSA-9680350,15,Signaling by CSF1 (M-CSF) in myeloid cells
R-HSA-9013423,15,RAC3 GTPase cycle
R-HSA-9664422,15,FCGR3A-mediated phagocytosis
R-HSA-437239,15,Recycling pathway of L1
R-HSA-2219530,14,Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-1474228,14,Degradation of the extracellular matrix
R-HSA-9662360,14,Sensory processing of sound by inner hair cells of the cochlea
R-HSA-202733,14,Cell surface interactions at the vascular wall
R-HSA-3928665,14,EPH-ephrin mediated repulsion of cells
R-HSA-8951664,14,Neddylation
R-HSA-1236974,14,ER-Phagosome pathway
R-HSA-977225,14,Amyloid fiber formation
R-HSA-3000178,13,ECM proteoglycans
R-HSA-4420097,13,VEGFA-VEGFR2 Pathway
R-HSA-6799198,13,Complex I biogenesis
R-HSA-2894862,12,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
R-HSA-216083,12,Integrin cell surface interactions
R-HSA-2644606,12,Constitutive Signaling by NOTCH1 PEST Domain Mutants
R-HSA-877300,12,Interferon gamma signaling
R-HSA-5689880,12,Ub-specific processing proteases
R-HSA-2029485,12,Role of phospholipids in phagocytosis
R-HSA-9013408,12,RHOG GTPase cycle
R-HSA-912631,11,Regulation of signaling by CBL
R-HSA-2871796,11,FCERI mediated MAPK activation
R-HSA-9013409,11,RHOJ GTPase cycle
R-HSA-2871809,11,FCERI mediated Ca+2 mobilization
R-HSA-9620244,11,Long-term potentiation
R-HSA-983695,11,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
R-HSA-9664323,11,FCGR3A-mediated IL10 synthesis
R-HSA-202424,11,Downstream TCR signaling
R-HSA-3000170,11,Syndecan interactions
R-HSA-5687128,11,MAPK6/MAPK4 signaling
R-HSA-977606,11,Regulation of Complement cascade
R-HSA-8866427,11,VLDLR internalisation and degradation
R-HSA-9833110,11,RSV-host interactions
R-HSA-9925563,10,Developmental Lineage of Pancreatic Ductal Cells
R-HSA-5578775,10,Ion homeostasis
R-HSA-6783783,10,Interleukin-10 signaling
R-HSA-1222556,10,ROS and RNS production in phagocytes
R-HSA-9692916,10,SARS-CoV-1 activates/modulates innate immune responses
R-HSA-2467813,10,Separation of Sister Chromatids
R-HSA-416476,10,G alpha (q) signalling events
R-HSA-5663213,10,RHO GTPases Activate WASPs and WAVEs
R-HSA-77387,10,Insulin receptor recycling
R-HSA-9856530,10,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
R-HSA-983231,10,Factors involved in megakaryocyte development and platelet production
R-HSA-2173796,10,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
R-HSA-9018519,10,Estrogen-dependent gene expression
R-HSA-5205685,10,PINK1-PRKN Mediated Mitophagy
R-HSA-9013106,9,RHOC GTPase cycle
R-HSA-438066,9,"Unblocking of NMDA receptors, glutamate binding and activation"
R-HSA-8876198,9,RAB GEFs exchange GTP for GDP on RABs
R-HSA-9609736,9,Assembly and cell surface presentation of NMDA receptors
R-HSA-1169408,9,ISG15 antiviral mechanism
R-HSA-383280,9,Nuclear Receptor transcription pathway
R-HSA-975634,9,Retinoid metabolism and transport
R-HSA-2122947,9,NOTCH1 Intracellular Domain Regulates Transcription
R-HSA-917977,9,Transferrin endocytosis and recycling
R-HSA-9860927,9,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells"
R-HSA-5628897,9,TP53 Regulates Metabolic Genes
R-HSA-9705462,9,Inactivation of CSF3 (G-CSF) signaling
R-HSA-6802952,9,Signaling by BRAF and RAF1 fusions
R-HSA-114604,9,GPVI-mediated activation cascade
R-HSA-9013405,9,RHOD GTPase cycle
R-HSA-2871837,9,FCERI mediated NF-kB activation
R-HSA-201681,9,TCF dependent signaling in response to WNT
R-HSA-1855204,9,Synthesis of IP3 and IP4 in the cytosol
R-HSA-2672351,9,Stimuli-sensing channels
R-HSA-1442490,9,Collagen degradation
